,tweet_id,text,timestamp,rating_numerator,rating_denominator,name,floofer,Lifestage,Breed,Confidence Level,retweet_count,favorite_count,followers_count
0,892177421306343426,"This is Tilly. She's just checking pup on you. Hopes you're doing ok. If not, she's available for pats, snugs, boops, the whole bit. 13/10 https://t.co/0Xxu71qeIV",2017-08-01 00:17:27,13.0,10,Tilly,,,chihuahua,0.323581,5334,29540,9228922
1,891815181378084864,This is Archie. He is a rare Norwegian Pouncing Corgo. Lives in the tall grass. You never know when one may strike. 12/10 https://t.co/wUnZnhtVJB,2017-07-31 00:18:03,12.0,10,Archie,,,chihuahua,0.716012,3507,22249,9228922
2,891327558926688256,"This is Franklin. He would like you to stop calling him ""cute."" He is a very fierce shark and should be respected as such. 12/10 #BarkWeek https://t.co/AtUZn91f7f",2017-07-29 16:00:24,12.0,10,Franklin,,,basset,0.555712,7809,35562,9228922
3,891087950875897856,Here we have a majestic great white breaching off South Africa's coast. Absolutely h*ckin breathtaking. 13/10 (IG: tucker_marlo) #BarkWeek https://t.co/kQ04fDDRmh,2017-07-29 00:08:17,13.0,10,None,,,chesapeake_bay_retriever,0.425595,2619,17951,9228922
4,890971913173991426,"Meet Jax. He enjoys ice cream so much he gets nervous around it. 13/10 help Jax enjoy more things by clicking below

https://t.co/Zr4hWfAs1H https://t.co/tVJBRMnhxl",2017-07-28 16:27:12,13.0,10,Jax,,,appenzeller,0.34170300000000003,1683,10440,9228922
5,890729181411237888,When you watch your owner call another dog a good boy but then they turn back to you and say you're a great boy. 13/10 https://t.co/v0nONBcwxq,2017-07-28 00:22:40,13.0,10,None,,,pomeranian,0.566142,15868,57245,9228922
6,890609185150312448,This is Zoey. She doesn't want to be one of the scary sharks. Just wants to be a snuggly pettable boatpet. 13/10 #BarkWeek https://t.co/9TwLuAGH0b,2017-07-27 16:25:51,13.0,10,Zoey,,,irish_terrier,0.487574,3648,24688,9228922
7,890240255349198849,This is Cassie. She is a college pup. Studying international doggo communication and stick theory. 14/10 so elegant much sophisticate https://t.co/t1bfwz5S2A,2017-07-26 15:59:51,14.0,10,Cassie,,doggo,pembroke,0.511319,6141,28173,9228922
8,890006608113172480,This is Koda. He is a South Australian deckshark. Deceptively deadly. Frighteningly majestic. 13/10 would risk a petting #BarkWeek https://t.co/dVPW0B0Mme,2017-07-26 00:31:25,13.0,10,Koda,,,samoyed,0.957979,6190,27233,9228922
9,889880896479866881,This is Bruno. He is a service shark. Only gets out of the water to assist you. 13/10 terrifyingly good boy https://t.co/u1XPQMl29g,2017-07-25 16:11:53,13.0,10,Bruno,,,french_bulldog,0.377417,4195,24770,9228922
10,889665388333682689,Here's a puppo that seems to be on the fence about something haha no but seriously someone help her. 13/10 https://t.co/BxvuXk0UCm,2017-07-25 01:55:32,13.0,10,None,,puppo,pembroke,0.966327,8402,42343,9228922
11,889638837579907072,This is Ted. He does his best. Sometimes that's not enough. But it's ok. 12/10 would assist https://t.co/f8dEDcrKSR,2017-07-25 00:10:02,12.0,10,Ted,,,french_bulldog,0.99165,3744,23839,9228922
12,889531135344209921,This is Stuart. He's sporting his favorite fanny pack. Secretly filled with bones only. 13/10 puppared puppo #BarkWeek https://t.co/y70o6h3isq,2017-07-24 17:02:04,13.0,10,Stuart,,puppo,golden_retriever,0.953442,1889,13445,9228922
13,889278841981685760,This is Oliver. You're witnessing one of his many brutal attacks. Seems to be playing with his victim. 13/10 fr*ckin frightening #BarkWeek https://t.co/WpHvrQedPb,2017-07-24 00:19:32,13.0,10,Oliver,,,whippet,0.626152,4469,22270,9228922
14,888917238123831296,This is Jim. He found a fren. Taught him how to sit like the good boys. 12/10 for both https://t.co/chxruIOUJN,2017-07-23 00:22:39,12.0,10,Jim,,,golden_retriever,0.714719,3789,25841,9228922
15,888804989199671297,This is Zeke. He has a new stick. Very proud of it. Would like you to throw it for him without taking it. 13/10 would do my best https://t.co/HTQ77yNQ5K,2017-07-22 16:56:37,13.0,10,Zeke,,,golden_retriever,0.46976,3567,22634,9228922
16,888554962724278272,This is Ralphus. He's powering up. Attempting maximum borkdrive. 13/10 inspirational af https://t.co/YnYAFCTTiK,2017-07-22 00:23:06,13.0,10,Ralphus,,,siberian_husky,0.700377,2901,17455,9228922
17,888078434458587136,This is Gerald. He was just told he didn't get the job he interviewed for. A h*ckin injustice. 12/10 didn't want the job anyway https://t.co/DK7iDPfuRX,2017-07-20 16:49:33,12.0,10,Gerald,,,french_bulldog,0.995026,2918,19308,9228922
18,887705289381826560,This is Jeffrey. He has a monopoly on the pool noodles. Currently running a 'boop for two' midweek sale. 13/10 h*ckin strategic https://t.co/PhrUk20Q64,2017-07-19 16:06:48,13.0,10,Jeffrey,,,basset,0.821664,4561,26826,9228922
19,887473957103951883,This is Canela. She attempted some fancy porch pics. They were unsuccessful. 13/10 someone help her https://t.co/cLyzpcUcMX,2017-07-19 00:47:34,13.0,10,Canela,,,pembroke,0.809197,15130,60611,9228922
